Name,Function / category,INCI name,Irritation potential,Notes,Reference link
"Niacinamide ","Antioxidant, Brightening, Hyperpigmentation",,,,
Alpha Arbutin,"Brightening, Hyperpigmentation",,,,
Tranexamic Acid,"Brightening, Hyperpigmentation",,,,
Kojic Acid,"Brightening, Hyperpigmentation",,,,
"Kojic Acid Dipalmitate ","Brightening, Hyperpigmentation",,,,
"Azelaic Acid ","Acne-fighting, Brightening, Hyperpigmentation",,,,
Vitamin C,"Antioxidant, Brightening, Hyperpigmentation","Ascorbic Acid ",,,
"Ascorbyl Glucoside ","Brightening, Hyperpigmentation",,,,
Sodium Ascorbyl Phosphate,"Brightening, Hyperpigmentation",,,,
Magnesium Ascorbyl Phosphate,"Brightening, Hyperpigmentation",,,,
Ethyl Ascorbic Acid,"Brightening, Hyperpigmentation",,,,
3-O-Ethyl Ascorbic Acid,"Brightening, Hyperpigmentation",,,,
Glutathione,"Brightening, Hyperpigmentation",,,,
Licorice Root Extract,"Brightening, Hyperpigmentation",Glabridin/Glycyrrhiza Glabra Root Extract,,,https://incidecoder.com/ingredients/glycyrrhiza-glabra-root-extract
Bearberry Extract,"Brightening, Hyperpigmentation",,,,
Phytic Acid,"Brightening, Hyperpigmentation",,,,
Tretinoin,"Acne-fighting, Cell Turnover / Anti-aging",,,,
"Retinol ",Cell Turnover / Anti-aging,,,,
Adapalene,Cell Turnover / Anti-aging,,,,
Bakuchiol,Cell Turnover / Anti-aging,,,,
Glycolic Acid,"Cell Turnover / Anti-aging, Exfoliant (AHA)",,,,
Lactic Acid,"Cell Turnover / Anti-aging, Exfoliant (AHA)",,,,
Mandelic Acid,"Cell Turnover / Anti-aging, Exfoliant (AHA)",,,,
"Centella Asiatica ","Acne-fighting, Soothing / anti-inflammatory",,Low,,
"Madecassoside ",Soothing / anti-inflammatory,,Low,,
"Asiatic Acid ",Soothing / anti-inflammatory,,Low,,
Heartleaf,Soothing / anti-inflammatory,Houttuynia Cordata,Low,,https://incidecoder.com/ingredients/houttuynia-cordata-extract
Allantoin,Soothing / anti-inflammatory,,Low,,
Bisabolol,Soothing / anti-inflammatory,,Low,,
Beta Glucan,Soothing / anti-inflammatory,,Low,,
"Oat Extract ",Soothing / anti-inflammatory,Avena Sativa,Low,,
Aloe Vera,Soothing / anti-inflammatory,,Medium,"Itchy ",
Mugwort,Soothing / anti-inflammatory,"Artemisia ",Low,,
Calendula,Soothing / anti-inflammatory,,Low,,
Green Tea Extract,"Antioxidant, Soothing / anti-inflammatory",EGCG,Low,,
Ceramide NP,"Barrier Repair/Maintenance, Emollient, Hydration",,,,
Ceramide AP,Barrier Repair/Maintenance,,,,
Ceramide EOP,Barrier Repair/Maintenance,,,,
Ceramide NS,Barrier Repair/Maintenance,,,,
Ceramide AS,Barrier Repair/Maintenance,,,,
Panthenol,Barrier Repair/Maintenance,Vitamin B5,,,
"Cholesterol ","Barrier Repair/Maintenance, Emollient",,,,
"Phytosphingosine ",Barrier Repair/Maintenance,,Low,,https://incidecoder.com/ingredients/phytosphingosine
"Hydrogenated Lecithin ",Barrier Repair/Maintenance,,,,
Fatty Acids,Barrier Repair/Maintenance,,,,
Sodium PCA,Barrier Repair/Maintenance,,,,
Hyaluronic Acid,"Humectant, Hydration",,,,
"Sodium Hyaluronate ","Humectant, Hydration",,,,
"Hydrolyzed Hyluronic Acid ","Humectant, Hydration",,,,
"Sodium Hyaluronate Crosspolymer ","Humectant, Hydration",,,,
Polyglutamic Acid,"Humectant, Hydration",,,,
Glycerin,"Humectant, Hydration",,,,
Urea,"Humectant, Hydration",,,Lower %,
"Squalane ","Emollient, Moisturizing/Sealing",,,,
"Tremella Fuciformis ","Humectant, Hydration",,,,https://incidecoder.com/ingredients/tremella-fuciformis-extract
Ectoin,"Humectant, Hydration",,,,
Betaine,"Humectant, Hydration",,Low,"Soothing ",
"Trehalose ","Humectant, Hydration",,,,
"Petrolatrum ","Moisturizing/Sealing, Occlusive",,,,
Dimentnicone,"Moisturizing/Sealing, Occlusive",,,,
Beeswax,"Moisturizing/Sealing, Occlusive",,,,
Mineral Oil,"Moisturizing/Sealing, Occlusive",,,,
Lanolin,"Moisturizing/Sealing, Occlusive",,,,
"Salicylic Acid ","Acne-fighting, Exfoliant (BHA)",,High,,
Benzoyl Peroxide,Acne-fighting,,,,
Zinc Oxide,UV Protection,,,,
"Titanium Dioxide ",UV Protection,,,,
Iron Oxides,UV Protection,,,,
Tinosorb S,UV Protection,,,,
"Betmotrizinol ",UV Protection,,,,
Tinosorb M,UV Protection,,,,
Octinoxate,UV Protection,,,,
Avobenzone,UV Protection,,,,
Octocrylene,UV Protection,,,,
Vitamin E,"Antioxidant, Protective",Tocopherol,,,
Coenzyme Q10,"Antioxidant, Protective",,,,
"Resveratrol ","Antioxidant, Protective",,,,https://incidecoder.com/ingredients/resveratrol
Ferulic Acid,"Antioxidant, Protective",,,,https://incidecoder.com/ingredients/ferulic-acid
Astaxanthin,"Antioxidant, Protective",,,,https://incidecoder.com/ingredients/astaxanthin
"Tea Tree Oil ","Acne-fighting, Antioxidant, Protective, Soothing / anti-inflammatory",,,,
Propolis,"Acne-fighting, Antioxidant, Barrier Repair/Maintenance, Hydration, Protective, Soothing / anti-inflammatory",,,,
"Sulfur ",Acne-fighting,,,,
Birch Sap,"Humectant, Hydration, Soothing / anti-inflammatory",,,,
"Snail Secretion Filtrate ","Barrier Repair/Maintenance, Humectant, Hydration",,,,
"Sea Water/Marine Water ","Humectant, Hydration",,,,
"Galactomyces Ferment Filtrate ","Brightening, Hyperpigmentation",,,,
"Ginseng Extract ","Brightening, Cell Turnover / Anti-aging",,,,
Rice Extract/Fermented Rice Water,"Brightening, Hyperpigmentation",,,,
Adenosine,"Cell Turnover / Anti-aging, Soothing / anti-inflammatory",,,,
